iter	Passed	Remaining
0	3	344
1	6	333
2	9	322
3	12	299
4	15	298
5	18	293
6	21	287
7	23	272
8	25	259
9	27	247
10	29	239
11	31	232
12	33	225
13	35	218
14	37	213
15	39	207
16	41	202
17	43	197
18	45	193
19	47	190
20	49	185
21	51	181
22	52	175
23	53	170
24	54	164
25	56	159
26	57	154
27	58	149
28	59	145
29	60	141
30	61	137
31	62	133
32	64	130
33	65	126
34	66	123
35	68	121
36	69	118
37	71	116
38	72	113
39	74	111
40	75	108
41	76	105
42	77	102
43	78	99
44	79	97
45	80	94
46	81	92
47	82	89
48	84	87
49	85	85
50	86	83
51	87	81
52	89	78
53	90	76
54	91	74
55	92	72
56	93	70
57	94	68
58	95	66
59	96	64
60	98	62
61	99	60
62	100	59
63	101	57
64	102	55
65	103	53
66	105	51
67	106	50
68	107	48
69	109	46
70	110	45
71	111	43
72	112	41
73	113	39
74	114	38
75	116	36
76	117	35
77	118	33
78	119	31
79	120	30
80	121	28
81	122	26
82	124	25
83	125	23
84	126	22
85	127	20
86	129	19
87	131	17
88	132	16
89	134	14
90	135	13
91	136	11
92	137	10
93	138	8
94	139	7
95	141	5
96	142	4
97	143	2
98	144	1
99	145	0
